model,accuracy,f1_score,precision,auc_roc,auc_pr
Logistic Regression,0.632364319663977,0.6311301151500687,0.6229573140536793,0.6870448805490046,0.6900832676099846
Random Forest,0.6252901514314138,0.6252979849054391,0.6297234769196871,0.6776298008570699,0.6808745936323187
Gradient Boosted Trees,0.6344091964187023,0.6334552524497108,0.6263284539803489,0.6860937190422854,0.6873745892963129
